index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-43db14ef-15e7-0c43-1a35-c81191c2a009,546.17,NVIDIA GeForce RTX 4070,[N/A],Enabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory
index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,12282,9729,2296,2024/03/11 18:27:20.913
0,1,12282,9729,2296,2024/03/11 18:27:50.955
0,21,12282,9729,2296,2024/03/11 18:28:21.000
0,1,12282,9729,2296,2024/03/11 18:28:51.053
0,3,12282,9729,2296,2024/03/11 18:29:21.106
0,61,12282,9729,2296,2024/03/11 18:29:51.152
0,0,12282,9729,2296,2024/03/11 18:30:21.206
0,0,12282,9729,2296,2024/03/11 18:30:51.260
0,0,12282,9729,2296,2024/03/11 18:31:21.311
0,3,12282,9729,2296,2024/03/11 18:31:51.367
0,98,12282,9729,2296,2024/03/11 18:32:21.416
0,0,12282,9729,2296,2024/03/11 18:32:51.492
0,0,12282,9729,2296,2024/03/11 18:33:21.554
0,1,12282,9729,2296,2024/03/11 18:33:51.594
0,83,12282,9729,2296,2024/03/11 18:34:21.679
0,1,12282,9729,2296,2024/03/11 18:34:51.733
0,0,12282,9733,2292,2024/03/11 18:35:21.778
0,45,12282,9733,2292,2024/03/11 18:35:51.831
0,67,12282,9733,2292,2024/03/11 18:36:21.882
0,0,12282,9733,2292,2024/03/11 18:36:51.930
0,0,12282,9733,2292,2024/03/11 18:37:21.971
0,84,12282,9733,2292,2024/03/11 18:37:52.035
0,0,12282,9733,2292,2024/03/11 18:38:22.083
0,41,12282,9733,2292,2024/03/11 18:38:52.127
0,0,12282,9733,2292,2024/03/11 18:39:22.179
0,8,12282,9733,2292,2024/03/11 18:39:52.223
0,4,12282,9733,2292,2024/03/11 18:40:22.265
0,1,12282,9733,2292,2024/03/11 18:40:52.311
0,0,12282,9733,2292,2024/03/11 18:41:22.375
0,1,12282,9733,2292,2024/03/11 18:41:52.426
0,0,12282,9733,2292,2024/03/11 18:42:22.476
0,84,12282,9733,2292,2024/03/11 18:42:52.525
0,31,12282,9733,2292,2024/03/11 18:43:22.576
0,0,12282,9733,2292,2024/03/11 18:43:52.624
0,0,12282,9733,2292,2024/03/11 18:44:22.668
0,0,12282,9733,2292,2024/03/11 18:44:52.713
0,0,12282,9733,2292,2024/03/11 18:45:22.759
0,0,12282,9733,2292,2024/03/11 18:45:52.811
0,10,12282,9733,2292,2024/03/11 18:46:22.855
0,0,12282,9733,2292,2024/03/11 18:46:52.902
0,0,12282,10445,1580,2024/03/11 18:47:22.953
0,0,12282,10445,1580,2024/03/11 18:47:53.008
0,4,12282,10445,1580,2024/03/11 18:48:23.062
0,94,12282,10445,1580,2024/03/11 18:48:53.120
0,0,12282,10445,1580,2024/03/11 18:49:23.174
0,0,12282,10445,1580,2024/03/11 18:49:53.215
0,1,12282,10445,1580,2024/03/11 18:50:23.262
0,0,12282,10445,1580,2024/03/11 18:50:53.313
0,0,12282,10445,1580,2024/03/11 18:51:23.357
0,1,12282,10445,1580,2024/03/11 18:51:53.414
0,0,12282,10445,1580,2024/03/11 18:52:23.466
0,0,12282,10445,1580,2024/03/11 18:52:53.508
0,4,12282,10445,1580,2024/03/11 18:53:23.559
0,0,12282,10445,1580,2024/03/11 18:53:53.605
0,0,12282,10445,1580,2024/03/11 18:54:23.651
0,0,12282,10445,1580,2024/03/11 18:54:53.692
0,0,12282,10445,1580,2024/03/11 18:55:23.742
0,9,12282,10445,1580,2024/03/11 18:55:53.796
0,0,12282,10445,1580,2024/03/11 18:56:23.848
0,64,12282,10445,1580,2024/03/11 18:56:53.900
0,0,12282,10445,1580,2024/03/11 18:57:23.943
0,83,12282,10445,1580,2024/03/11 18:57:53.991
0,7,12282,10445,1580,2024/03/11 18:58:24.040
0,85,12282,10445,1580,2024/03/11 18:58:54.107
0,26,12282,10445,1580,2024/03/11 18:59:24.148
0,1,12282,10445,1580,2024/03/11 18:59:54.193
0,0,12282,10445,1580,2024/03/11 19:00:24.235
0,5,12282,10445,1580,2024/03/11 19:00:54.281
0,0,12282,10445,1580,2024/03/11 19:01:24.336
0,74,12282,10445,1580,2024/03/11 19:01:54.381
0,37,12282,10445,1580,2024/03/11 19:02:24.435
0,0,12282,10445,1580,2024/03/11 19:02:54.480
0,0,12282,10445,1580,2024/03/11 19:03:24.538
0,0,12282,10445,1580,2024/03/11 19:03:54.583
0,10,12282,10445,1580,2024/03/11 19:04:24.630
0,33,12282,10445,1580,2024/03/11 19:04:54.687
0,0,12282,10445,1580,2024/03/11 19:05:24.735
0,8,12282,10445,1580,2024/03/11 19:05:54.790
0,1,12282,10445,1580,2024/03/11 19:06:24.835
